#: table_doi: 10.17182/hepdata.90835.v1/t81
#: name: T1bbbb efficiency
#: description: The efficiency times acceptance of the SMS models for T1bbbb as function of the gluino and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t1bbbb_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: Efficiency,
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
665.13,707.19,0.0
665.13,719.06,0.0
665.13,730.93,0.0
665.13,742.8,0.0
665.13,754.67,0.0
665.13,766.53,0.0
665.13,778.4,0.0
665.13,790.27,0.0
665.13,802.14,0.0
665.13,814.01,0.0
665.13,825.88,0.0
665.13,837.75,0.0
665.13,849.62,0.0
665.13,861.48,0.0
665.13,873.35,0.0
665.13,885.22,0.0
665.13,897.09,0.0
665.13,908.96,0.0
665.13,920.83,0.0
665.13,932.7,0.0
665.13,944.57,0.0
665.13,956.43,0.0
665.13,968.3,0.0
665.13,980.17,0.0
665.13,992.04,0.0
665.13,1003.9,0.0
665.13,1015.8,0.0
665.13,1027.6,0.0
665.13,1039.5,0.0
665.13,1051.4,0.0
665.13,1063.3,0.0
665.13,1075.1,0.0
665.13,1087.0,0.0
665.13,1098.9,0.0
665.13,1110.7,0.0
665.13,1122.6,0.0
665.13,1134.5,0.0
665.13,1146.3,0.0
665.13,1158.2,0.0
665.13,1170.1,0.0
665.13,1181.9,0.0
665.13,1193.8,0.0
665.13,1205.7,0.0
665.13,1217.5,0.0
665.13,1229.4,0.0
665.13,1241.3,0.0
665.13,1253.2,0.0
665.13,1265.0,0.0
665.13,1276.9,0.0
665.13,1288.8,0.0
665.13,1300.6,0.0
665.13,1312.5,0.0
665.13,1324.4,0.0
665.13,1336.2,0.0
665.13,1348.1,0.0
665.13,1360.0,0.0
665.13,1371.8,0.0
665.13,1383.7,0.0
665.13,1395.6,0.0
665.13,1407.4,0.0
665.13,1419.3,0.0
665.13,1431.2,0.0
665.13,1443.1,0.0
665.13,1454.9,0.0
665.13,1466.8,0.0
665.13,1478.7,0.0
665.13,1490.5,0.0
665.13,1502.4,0.0
665.13,1514.3,0.0
665.13,1526.1,0.0
665.13,1538.0,0.0
665.13,1549.9,0.0
665.13,1561.7,0.0
665.13,1573.6,0.0
665.13,1585.5,0.0
665.13,1597.3,0.0
665.13,1609.2,0.0
665.13,1621.1,0.0
665.13,1633.0,0.0
665.13,1644.8,0.0
665.13,1656.7,0.0
665.13,1668.6,0.0
665.13,1680.4,0.0
665.13,1692.3,0.0
665.13,1704.2,0.0
665.13,1716.0,0.0
665.13,1727.9,0.0
665.13,1739.8,0.0
665.13,1751.6,0.0
665.13,1763.5,0.0
665.13,1775.4,0.0
665.13,1787.2,0.0
665.13,1799.1,0.0
665.13,1811.0,0.0
665.13,1822.9,0.0
665.13,1834.7,0.0
665.13,1846.6,0.0
665.13,1858.5,0.0
665.13,1870.3,0.0
665.13,1882.2,0.0
665.13,1894.1,0.0
679.61,6.9344,0.24482
679.61,18.803,0.24591
679.61,30.672,0.24731
679.61,42.541,0.24878
679.61,54.409,0.25025
679.61,66.278,0.25172
679.61,78.147,0.25319
679.61,90.016,0.25466
679.61,101.88,0.2555
679.61,113.75,0.25295
679.61,125.62,0.25114
679.61,137.49,0.25025
679.61,149.36,0.24936
679.61,161.23,0.24847
679.61,173.1,0.24757
679.61,184.97,0.24668
679.61,196.83,0.24579
679.61,208.7,0.2407
679.61,220.57,0.2341
679.61,232.44,0.22937
679.61,244.31,0.22464
679.61,256.18,0.2199
679.61,268.05,0.21517
679.61,279.92,0.21044
679.61,291.78,0.20571
679.61,303.65,0.19978
679.61,315.52,0.19115
679.61,327.39,0.18252
679.61,339.26,0.17389
679.61,351.13,0.16526
679.61,363.0,0.15663
679.61,374.87,0.148
679.61,386.73,0.14024
679.61,398.6,0.13305
679.61,410.47,0.12685
679.61,422.34,0.12078
679.61,434.21,0.11472
679.61,446.08,0.10746
679.61,457.95,0.098709
679.61,469.82,0.089962
679.61,481.68,0.081215
679.61,493.55,0.072468
679.61,505.42,0.067107
679.61,517.29,0.065771
679.61,529.16,0.062584
679.61,541.03,0.058742
