#: table_doi: 10.17182/hepdata.90835.v1/t79
#: name: T2qq significance
#: description: The observed significance of the SMS models for T2qq as function of the LSP and light squark masses. 
#: data_file: t2qq_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Significance,
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
593.75,1744.7,0.0
593.75,1761.9,0.0
593.75,1779.1,0.0
593.75,1796.3,0.0
593.75,1813.5,0.0
593.75,1830.6,0.0
593.75,1847.8,0.0
593.75,1865.0,0.0
593.75,1882.2,0.0
593.75,1899.4,0.0
593.75,1916.5,0.0
593.75,1933.7,0.0
593.75,1950.9,0.0
593.75,1968.1,0.0
593.75,1985.3,0.0
593.75,2002.4,0.0
593.75,2019.6,0.0
593.75,2036.8,0.0
593.75,2054.0,0.0
593.75,2071.2,0.0
593.75,2088.3,0.0
593.75,2105.5,0.0
593.75,2122.7,0.0
593.75,2139.9,0.0
593.75,2157.1,0.0
593.75,2174.2,0.0
593.75,2191.4,0.0
606.25,9.5898,-0.55873
606.25,26.77,-0.56385
606.25,43.949,-0.57028
606.25,61.129,-0.57671
606.25,78.309,-0.58314
606.25,95.488,-0.58957
606.25,112.67,-0.58965
606.25,129.85,-0.57312
606.25,147.03,-0.55659
606.25,164.21,-0.54006
606.25,181.39,-0.52353
606.25,198.57,-0.507
606.25,215.75,-0.50174
606.25,232.93,-0.5014
606.25,250.11,-0.50112
606.25,267.29,-0.47019
606.25,284.46,-0.41736
606.25,301.64,-0.36089
606.25,318.82,-0.24504
606.25,336.0,-0.12005
606.25,353.18,0.011218
606.25,370.36,0.17005
606.25,387.54,0.32887
606.25,404.72,0.39959
606.25,421.9,0.3578
606.25,439.08,0.31601
606.25,456.26,0.35917
606.25,473.44,0.33983
606.25,490.62,0.3205
606.25,507.8,0.27545
606.25,524.98,0.097514
606.25,542.16,-0.080419
606.25,559.34,-0.38629
606.25,576.52,-0.74399
606.25,593.7,0.0
606.25,610.88,0.0
606.25,628.06,0.0
606.25,645.24,0.0
606.25,662.42,0.0
606.25,679.6,0.0
606.25,696.78,0.0
606.25,713.96,0.0
606.25,731.14,0.0
606.25,748.32,0.0
606.25,765.5,0.0
606.25,782.68,0.0
606.25,799.86,0.0
606.25,817.04,0.0
606.25,834.21,0.0
606.25,851.39,0.0
606.25,868.57,0.0
606.25,885.75,0.0
606.25,902.93,0.0
606.25,920.11,0.0
606.25,937.29,0.0
606.25,954.47,0.0
606.25,971.65,0.0
606.25,988.83,0.0
606.25,1006.0,0.0
606.25,1023.2,0.0
606.25,1040.4,0.0
606.25,1057.6,0.0
606.25,1074.7,0.0
606.25,1091.9,0.0
606.25,1109.1,0.0
606.25,1126.3,0.0
606.25,1143.4,0.0
606.25,1160.6,0.0
606.25,1177.8,0.0
606.25,1195.0,0.0
606.25,1212.2,0.0
606.25,1229.3,0.0
606.25,1246.5,0.0
606.25,1263.7,0.0
606.25,1280.9,0.0
606.25,1298.1,0.0
606.25,1315.2,0.0
606.25,1332.4,0.0
606.25,1349.6,0.0
606.25,1366.8,0.0
606.25,1384.0,0.0
606.25,1401.1,0.0
606.25,1418.3,0.0
606.25,1435.5,0.0
606.25,1452.7,0.0
606.25,1469.9,0.0
606.25,1487.0,0.0
606.25,1504.2,0.0
606.25,1521.4,0.0
606.25,1538.6,0.0
606.25,1555.8,0.0
606.25,1572.9,0.0
606.25,1590.1,0.0
606.25,1607.3,0.0
606.25,1624.5,0.0
606.25,1641.7,0.0
606.25,1658.8,0.0
606.25,1676.0,0.0
606.25,1693.2,0.0
606.25,1710.4,0.0
606.25,1727.6,0.0
606.25,1744.7,0.0
606.25,1761.9,0.0
606.25,1779.1,0.0
606.25,1796.3,0.0
606.25,1813.5,0.0
606.25,1830.6,0.0
606.25,1847.8,0.0
606.25,1865.0,0.0
606.25,1882.2,0.0
606.25,1899.4,0.0
606.25,1916.5,0.0
606.25,1933.7,0.0
606.25,1950.9,0.0
606.25,1968.1,0.0
606.25,1985.3,0.0
606.25,2002.4,0.0
606.25,2019.6,0.0
606.25,2036.8,0.0
606.25,2054.0,0.0
606.25,2071.2,0.0
606.25,2088.3,0.0
606.25,2105.5,0.0
606.25,2122.7,0.0
606.25,2139.9,0.0
606.25,2157.1,0.0
606.25,2174.2,0.0
606.25,2191.4,0.0
618.75,9.5898,-0.54211
618.75,26.77,-0.5426
618.75,43.949,-0.54511
618.75,61.129,-0.55154
618.75,78.309,-0.55797
618.75,95.488,-0.5644
618.75,112.67,-0.56462
618.75,129.85,-0.56263
618.75,147.03,-0.55258
618.75,164.21,-0.53605
618.75,181.39,-0.51952
618.75,198.57,-0.50299
618.75,215.75,-0.49231
618.75,232.93,-0.49025
618.75,250.11,-0.48997
618.75,267.29,-0.49837
618.75,284.46,-0.45076
618.75,301.64,-0.39429
618.75,318.82,-0.3033
618.75,336.0,-0.1783
618.75,353.18,-0.047036
618.75,370.36,0.11179
618.75,387.54,0.23743
618.75,404.72,0.27541
618.75,421.9,0.23362
618.75,439.08,0.28802
618.75,456.26,0.3885
618.75,473.44,0.36917
618.75,490.62,0.34313
618.75,507.8,0.30844
618.75,524.98,0.21946
618.75,542.16,0.041522
618.75,559.34,-0.26435
618.75,576.52,-0.54729
618.75,593.7,-0.82866
618.75,610.88,0.0
618.75,628.06,0.0
618.75,645.24,0.0
618.75,662.42,0.0
618.75,679.6,0.0
618.75,696.78,0.0
618.75,713.96,0.0
618.75,731.14,0.0
618.75,748.32,0.0
618.75,765.5,0.0
618.75,782.68,0.0
618.75,799.86,0.0
618.75,817.04,0.0
618.75,834.21,0.0
618.75,851.39,0.0
618.75,868.57,0.0
618.75,885.75,0.0
618.75,902.93,0.0
618.75,920.11,0.0
618.75,937.29,0.0
618.75,954.47,0.0
618.75,971.65,0.0
618.75,988.83,0.0
618.75,1006.0,0.0
618.75,1023.2,0.0
618.75,1040.4,0.0
618.75,1057.6,0.0
618.75,1074.7,0.0
618.75,1091.9,0.0
618.75,1109.1,0.0
618.75,1126.3,0.0
618.75,1143.4,0.0
618.75,1160.6,0.0
618.75,1177.8,0.0
618.75,1195.0,0.0
618.75,1212.2,0.0
618.75,1229.3,0.0
618.75,1246.5,0.0
618.75,1263.7,0.0
618.75,1280.9,0.0
618.75,1298.1,0.0
618.75,1315.2,0.0
618.75,1332.4,0.0
618.75,1349.6,0.0
618.75,1366.8,0.0
618.75,1384.0,0.0
618.75,1401.1,0.0
618.75,1418.3,0.0
618.75,1435.5,0.0
618.75,1452.7,0.0
618.75,1469.9,0.0
618.75,1487.0,0.0
618.75,1504.2,0.0
618.75,1521.4,0.0
618.75,1538.6,0.0
618.75,1555.8,0.0
618.75,1572.9,0.0
618.75,1590.1,0.0
618.75,1607.3,0.0
618.75,1624.5,0.0
618.75,1641.7,0.0
618.75,1658.8,0.0
618.75,1676.0,0.0
618.75,1693.2,0.0
618.75,1710.4,0.0
618.75,1727.6,0.0
618.75,1744.7,0.0
618.75,1761.9,0.0
618.75,1779.1,0.0
618.75,1796.3,0.0
618.75,1813.5,0.0
618.75,1830.6,0.0
618.75,1847.8,0.0
618.75,1865.0,0.0
618.75,1882.2,0.0
618.75,1899.4,0.0
618.75,1916.5,0.0
618.75,1933.7,0.0
618.75,1950.9,0.0
618.75,1968.1,0.0
618.75,1985.3,0.0
618.75,2002.4,0.0
618.75,2019.6,0.0
618.75,2036.8,0.0
618.75,2054.0,0.0
618.75,2071.2,0.0
618.75,2088.3,0.0
618.75,2105.5,0.0
618.75,2122.7,0.0
618.75,2139.9,0.0
618.75,2157.1,0.0
618.75,2174.2,0.0
618.75,2191.4,0.0
631.25,9.5898,-0.52548
631.25,26.77,-0.52598
631.25,43.949,-0.52648
631.25,61.129,-0.52698
631.25,78.309,-0.5328
631.25,95.488,-0.53923
631.25,112.67,-0.53945
631.25,129.85,-0.53746
631.25,147.03,-0.53547
631.25,164.21,-0.53204
631.25,181.39,-0.51551
631.25,198.57,-0.49898
631.25,215.75,-0.4883
631.25,232.93,-0.47911
631.25,250.11,-0.47882
631.25,267.29,-0.48722
631.25,284.46,-0.48417
631.25,301.64,-0.4277
631.25,318.82,-0.33685
631.25,336.0,-0.23656
631.25,353.18,-0.10529
631.25,370.36,0.045028
631.25,387.54,0.11325
631.25,404.72,0.15123
631.25,421.9,0.14816
631.25,439.08,0.31736
631.25,456.26,0.41784
631.25,473.44,0.39514
631.25,490.62,0.36352
631.25,507.8,0.32883
631.25,524.98,0.29046
631.25,542.16,0.16346
631.25,559.34,-0.14241
631.25,576.52,-0.35058
631.25,593.7,-0.58261
631.25,610.88,0.0
631.25,628.06,0.0
631.25,645.24,0.0
631.25,662.42,0.0
631.25,679.6,0.0
631.25,696.78,0.0
631.25,713.96,0.0
631.25,731.14,0.0
631.25,748.32,0.0
631.25,765.5,0.0
631.25,782.68,0.0
631.25,799.86,0.0
631.25,817.04,0.0
631.25,834.21,0.0
631.25,851.39,0.0
631.25,868.57,0.0
631.25,885.75,0.0
631.25,902.93,0.0
631.25,920.11,0.0
631.25,937.29,0.0
631.25,954.47,0.0
631.25,971.65,0.0
631.25,988.83,0.0
631.25,1006.0,0.0
631.25,1023.2,0.0
631.25,1040.4,0.0
631.25,1057.6,0.0
631.25,1074.7,0.0
631.25,1091.9,0.0
631.25,1109.1,0.0
631.25,1126.3,0.0
631.25,1143.4,0.0
631.25,1160.6,0.0
631.25,1177.8,0.0
631.25,1195.0,0.0
631.25,1212.2,0.0
631.25,1229.3,0.0
631.25,1246.5,0.0
631.25,1263.7,0.0
631.25,1280.9,0.0
631.25,1298.1,0.0
631.25,1315.2,0.0
631.25,1332.4,0.0
631.25,1349.6,0.0
631.25,1366.8,0.0
631.25,1384.0,0.0
631.25,1401.1,0.0
631.25,1418.3,0.0
631.25,1435.5,0.0
631.25,1452.7,0.0
631.25,1469.9,0.0
631.25,1487.0,0.0
631.25,1504.2,0.0
631.25,1521.4,0.0
631.25,1538.6,0.0
631.25,1555.8,0.0
631.25,1572.9,0.0
631.25,1590.1,0.0
631.25,1607.3,0.0
631.25,1624.5,0.0
631.25,1641.7,0.0
631.25,1658.8,0.0
631.25,1676.0,0.0
631.25,1693.2,0.0
631.25,1710.4,0.0
631.25,1727.6,0.0
631.25,1744.7,0.0
631.25,1761.9,0.0
631.25,1779.1,0.0
631.25,1796.3,0.0
631.25,1813.5,0.0
631.25,1830.6,0.0
631.25,1847.8,0.0
631.25,1865.0,0.0
631.25,1882.2,0.0
631.25,1899.4,0.0
631.25,1916.5,0.0
631.25,1933.7,0.0
631.25,1950.9,0.0
631.25,1968.1,0.0
631.25,1985.3,0.0
631.25,2002.4,0.0
631.25,2019.6,0.0
631.25,2036.8,0.0
631.25,2054.0,0.0
631.25,2071.2,0.0
631.25,2088.3,0.0
631.25,2105.5,0.0
631.25,2122.7,0.0
631.25,2139.9,0.0
631.25,2157.1,0.0
631.25,2174.2,0.0
631.25,2191.4,0.0
643.75,9.5898,-0.50886
643.75,26.77,-0.50936
643.75,43.949,-0.50985
643.75,61.129,-0.51035
643.75,78.309,-0.51085
643.75,95.488,-0.51406
643.75,112.67,-0.51428
643.75,129.85,-0.51229
643.75,147.03,-0.5103
643.75,164.21,-0.50831
643.75,181.39,-0.50632
643.75,198.57,-0.49497
643.75,215.75,-0.48429
643.75,232.93,-0.47414
643.75,250.11,-0.46767
643.75,267.29,-0.47607
643.75,284.46,-0.48448
643.75,301.64,-0.4611
643.75,318.82,-0.37026
643.75,336.0,-0.27941
643.75,353.18,-0.16355
643.75,370.36,-0.079152
643.75,387.54,-0.010931
643.75,404.72,0.027049
643.75,421.9,0.17749
643.75,439.08,0.34669
643.75,456.26,0.44716
643.75,473.44,0.41554
643.75,490.62,0.38391
643.75,507.8,0.34922
643.75,524.98,0.31086
643.75,542.16,0.27249
643.75,559.34,0.053877
643.75,576.52,-0.15388
643.75,593.7,-0.36163
643.75,610.88,-0.67996
643.75,628.06,0.0
643.75,645.24,0.0
643.75,662.42,0.0
643.75,679.6,0.0
643.75,696.78,0.0
643.75,713.96,0.0
643.75,731.14,0.0
643.75,748.32,0.0
643.75,765.5,0.0
643.75,782.68,0.0
643.75,799.86,0.0
643.75,817.04,0.0
643.75,834.21,0.0
643.75,851.39,0.0
643.75,868.57,0.0
643.75,885.75,0.0
643.75,902.93,0.0
643.75,920.11,0.0
643.75,937.29,0.0
643.75,954.47,0.0
643.75,971.65,0.0
643.75,988.83,0.0
643.75,1006.0,0.0
643.75,1023.2,0.0
643.75,1040.4,0.0
643.75,1057.6,0.0
643.75,1074.7,0.0
643.75,1091.9,0.0
643.75,1109.1,0.0
643.75,1126.3,0.0
643.75,1143.4,0.0
643.75,1160.6,0.0
643.75,1177.8,0.0
643.75,1195.0,0.0
643.75,1212.2,0.0
643.75,1229.3,0.0
643.75,1246.5,0.0
643.75,1263.7,0.0
643.75,1280.9,0.0
643.75,1298.1,0.0
643.75,1315.2,0.0
643.75,1332.4,0.0
643.75,1349.6,0.0
643.75,1366.8,0.0
643.75,1384.0,0.0
643.75,1401.1,0.0
643.75,1418.3,0.0
643.75,1435.5,0.0
643.75,1452.7,0.0
643.75,1469.9,0.0
643.75,1487.0,0.0
643.75,1504.2,0.0
643.75,1521.4,0.0
643.75,1538.6,0.0
643.75,1555.8,0.0
643.75,1572.9,0.0
643.75,1590.1,0.0
643.75,1607.3,0.0
643.75,1624.5,0.0
643.75,1641.7,0.0
643.75,1658.8,0.0
643.75,1676.0,0.0
643.75,1693.2,0.0
643.75,1710.4,0.0
643.75,1727.6,0.0
643.75,1744.7,0.0
643.75,1761.9,0.0
643.75,1779.1,0.0
643.75,1796.3,0.0
643.75,1813.5,0.0
643.75,1830.6,0.0
643.75,1847.8,0.0
643.75,1865.0,0.0
643.75,1882.2,0.0
643.75,1899.4,0.0
643.75,1916.5,0.0
643.75,1933.7,0.0
643.75,1950.9,0.0
643.75,1968.1,0.0
643.75,1985.3,0.0
643.75,2002.4,0.0
643.75,2019.6,0.0
643.75,2036.8,0.0
643.75,2054.0,0.0
643.75,2071.2,0.0
643.75,2088.3,0.0
643.75,2105.5,0.0
643.75,2122.7,0.0
643.75,2139.9,0.0
643.75,2157.1,0.0
643.75,2174.2,0.0
643.75,2191.4,0.0
656.25,9.5898,-0.5015
656.25,26.77,-0.50281
656.25,43.949,-0.50331
656.25,61.129,-0.50381
656.25,78.309,-0.50431
656.25,95.488,-0.5048
656.25,112.67,-0.4991
656.25,129.85,-0.49711
656.25,147.03,-0.49512
656.25,164.21,-0.49313
656.25,181.39,-0.49114
656.25,198.57,-0.48915
656.25,215.75,-0.49061
656.25,232.93,-0.48046
656.25,250.11,-0.47015
656.25,267.29,-0.46253
656.25,284.46,-0.47093
656.25,301.64,-0.46983
656.25,318.82,-0.37899
656.25,336.0,-0.28814
656.25,353.18,-0.23037
656.25,370.36,-0.16215
656.25,387.54,-0.093931
656.25,404.72,-0.00082812
656.25,421.9,0.16837
656.25,439.08,0.33757
656.25,456.26,0.41802
656.25,473.44,0.3864
656.25,490.62,0.35477
656.25,507.8,0.37998
656.25,524.98,0.34161
656.25,542.16,0.30325
656.25,559.34,0.17287
656.25,576.52,-0.03489
656.25,593.7,-0.24264
656.25,610.88,-0.48211
656.25,628.06,-0.77113
656.25,645.24,0.0
656.25,662.42,0.0
656.25,679.6,0.0
656.25,696.78,0.0
656.25,713.96,0.0
656.25,731.14,0.0
656.25,748.32,0.0
656.25,765.5,0.0
656.25,782.68,0.0
656.25,799.86,0.0
656.25,817.04,0.0
656.25,834.21,0.0
656.25,851.39,0.0
656.25,868.57,0.0
656.25,885.75,0.0
656.25,902.93,0.0
656.25,920.11,0.0
656.25,937.29,0.0
656.25,954.47,0.0
656.25,971.65,0.0
656.25,988.83,0.0
656.25,1006.0,0.0
656.25,1023.2,0.0
656.25,1040.4,0.0
656.25,1057.6,0.0
656.25,1074.7,0.0
656.25,1091.9,0.0
656.25,1109.1,0.0
656.25,1126.3,0.0
656.25,1143.4,0.0
656.25,1160.6,0.0
656.25,1177.8,0.0
656.25,1195.0,0.0
656.25,1212.2,0.0
656.25,1229.3,0.0
656.25,1246.5,0.0
656.25,1263.7,0.0
656.25,1280.9,0.0
656.25,1298.1,0.0
656.25,1315.2,0.0
656.25,1332.4,0.0
656.25,1349.6,0.0
656.25,1366.8,0.0
656.25,1384.0,0.0
656.25,1401.1,0.0
656.25,1418.3,0.0
656.25,1435.5,0.0
656.25,1452.7,0.0
656.25,1469.9,0.0
656.25,1487.0,0.0
656.25,1504.2,0.0
656.25,1521.4,0.0
656.25,1538.6,0.0
656.25,1555.8,0.0
656.25,1572.9,0.0
656.25,1590.1,0.0
656.25,1607.3,0.0
656.25,1624.5,0.0
656.25,1641.7,0.0
656.25,1658.8,0.0
656.25,1676.0,0.0
656.25,1693.2,0.0
656.25,1710.4,0.0
656.25,1727.6,0.0
656.25,1744.7,0.0
656.25,1761.9,0.0
656.25,1779.1,0.0
656.25,1796.3,0.0
656.25,1813.5,0.0
656.25,1830.6,0.0
656.25,1847.8,0.0
656.25,1865.0,0.0
656.25,1882.2,0.0
656.25,1899.4,0.0
656.25,1916.5,0.0
656.25,1933.7,0.0
656.25,1950.9,0.0
656.25,1968.1,0.0
656.25,1985.3,0.0
656.25,2002.4,0.0
656.25,2019.6,0.0
656.25,2036.8,0.0
656.25,2054.0,0.0
656.25,2071.2,0.0
656.25,2088.3,0.0
656.25,2105.5,0.0
656.25,2122.7,0.0
656.25,2139.9,0.0
656.25,2157.1,0.0
656.25,2174.2,0.0
656.25,2191.4,0.0
668.75,9.5898,-0.49973
668.75,26.77,-0.50392
668.75,43.949,-0.50685
668.75,61.129,-0.50735
668.75,78.309,-0.50785
668.75,95.488,-0.50835
668.75,112.67,-0.50259
668.75,129.85,-0.4946
668.75,147.03,-0.48993
668.75,164.21,-0.48794
668.75,181.39,-0.48595
668.75,198.57,-0.48396
668.75,215.75,-0.50202
668.75,232.93,-0.49712
668.75,250.11,-0.48681
668.75,267.29,-0.4504
668.75,284.46,-0.45498
668.75,301.64,-0.45388
668.75,318.82,-0.36304
668.75,336.0,-0.29416
668.75,353.18,-0.27219
668.75,370.36,-0.20397
668.75,387.54,-0.13865
668.75,404.72,-0.048402
668.75,421.9,0.1208
668.75,439.08,0.27051
668.75,456.26,0.33935
668.75,473.44,0.30772
668.75,490.62,0.36591
668.75,507.8,0.42111
668.75,524.98,0.38274
668.75,542.16,0.3445
668.75,559.34,0.21414
668.75,576.52,0.0063812
668.75,593.7,-0.093439
668.75,610.88,-0.33246
668.75,628.06,-0.56653
668.75,645.24,0.0
668.75,662.42,0.0
668.75,679.6,0.0
668.75,696.78,0.0
668.75,713.96,0.0
668.75,731.14,0.0
668.75,748.32,0.0
668.75,765.5,0.0
668.75,782.68,0.0
668.75,799.86,0.0
668.75,817.04,0.0
668.75,834.21,0.0
668.75,851.39,0.0
668.75,868.57,0.0
668.75,885.75,0.0
668.75,902.93,0.0
668.75,920.11,0.0
668.75,937.29,0.0
668.75,954.47,0.0
668.75,971.65,0.0
668.75,988.83,0.0
668.75,1006.0,0.0
668.75,1023.2,0.0
668.75,1040.4,0.0
668.75,1057.6,0.0
668.75,1074.7,0.0
668.75,1091.9,0.0
668.75,1109.1,0.0
668.75,1126.3,0.0
668.75,1143.4,0.0
668.75,1160.6,0.0
668.75,1177.8,0.0
668.75,1195.0,0.0
668.75,1212.2,0.0
668.75,1229.3,0.0
668.75,1246.5,0.0
668.75,1263.7,0.0
668.75,1280.9,0.0
668.75,1298.1,0.0
668.75,1315.2,0.0
668.75,1332.4,0.0
668.75,1349.6,0.0
668.75,1366.8,0.0
668.75,1384.0,0.0
668.75,1401.1,0.0
668.75,1418.3,0.0
668.75,1435.5,0.0
668.75,1452.7,0.0
668.75,1469.9,0.0
668.75,1487.0,0.0
668.75,1504.2,0.0
668.75,1521.4,0.0
668.75,1538.6,0.0
668.75,1555.8,0.0
668.75,1572.9,0.0
668.75,1590.1,0.0
668.75,1607.3,0.0
668.75,1624.5,0.0
668.75,1641.7,0.0
668.75,1658.8,0.0
668.75,1676.0,0.0
668.75,1693.2,0.0
668.75,1710.4,0.0
668.75,1727.6,0.0
668.75,1744.7,0.0
668.75,1761.9,0.0
668.75,1779.1,0.0
668.75,1796.3,0.0
668.75,1813.5,0.0
668.75,1830.6,0.0
668.75,1847.8,0.0
668.75,1865.0,0.0
668.75,1882.2,0.0
668.75,1899.4,0.0
668.75,1916.5,0.0
668.75,1933.7,0.0
668.75,1950.9,0.0
668.75,1968.1,0.0
668.75,1985.3,0.0
668.75,2002.4,0.0
668.75,2019.6,0.0
668.75,2036.8,0.0
668.75,2054.0,0.0
668.75,2071.2,0.0
668.75,2088.3,0.0
668.75,2105.5,0.0
668.75,2122.7,0.0
668.75,2139.9,0.0
668.75,2157.1,0.0
668.75,2174.2,0.0
668.75,2191.4,0.0
681.25,9.5898,-0.49795
681.25,26.77,-0.50214
681.25,43.949,-0.50633
681.25,61.129,-0.51052
681.25,78.309,-0.51139
681.25,95.488,-0.51189
681.25,112.67,-0.50613
681.25,129.85,-0.49814
681.25,147.03,-0.49015
681.25,164.21,-0.48275
681.25,181.39,-0.48076
681.25,198.57,-0.47877
681.25,215.75,-0.49683
681.25,232.93,-0.51378
681.25,250.11,-0.50347
681.25,267.29,-0.46706
681.25,284.46,-0.43903
681.25,301.64,-0.43793
681.25,318.82,-0.34743
681.25,336.0,-0.33598
681.25,353.18,-0.31401
681.25,370.36,-0.24654
681.25,387.54,-0.18622
681.25,404.72,-0.095975
681.25,421.9,0.065381
681.25,439.08,0.19184
681.25,456.26,0.26068
681.25,473.44,0.27401
681.25,490.62,0.40703
681.25,507.8,0.46223
681.25,524.98,0.42394
681.25,542.16,0.38577
681.25,559.34,0.25541
681.25,576.52,0.11501
681.25,593.7,0.056206
681.25,610.88,-0.16959
681.25,628.06,-0.36192
681.25,645.24,-0.59181
681.25,662.42,0.0
681.25,679.6,0.0
681.25,696.78,0.0
681.25,713.96,0.0
681.25,731.14,0.0
681.25,748.32,0.0
681.25,765.5,0.0
681.25,782.68,0.0
681.25,799.86,0.0
681.25,817.04,0.0
681.25,834.21,0.0
681.25,851.39,0.0
681.25,868.57,0.0
681.25,885.75,0.0
681.25,902.93,0.0
681.25,920.11,0.0
681.25,937.29,0.0
681.25,954.47,0.0
681.25,971.65,0.0
681.25,988.83,0.0
681.25,1006.0,0.0
681.25,1023.2,0.0
681.25,1040.4,0.0
681.25,1057.6,0.0
681.25,1074.7,0.0
681.25,1091.9,0.0
681.25,1109.1,0.0
681.25,1126.3,0.0
681.25,1143.4,0.0
681.25,1160.6,0.0
681.25,1177.8,0.0
681.25,1195.0,0.0
681.25,1212.2,0.0
681.25,1229.3,0.0
681.25,1246.5,0.0
681.25,1263.7,0.0
681.25,1280.9,0.0
681.25,1298.1,0.0
681.25,1315.2,0.0
681.25,1332.4,0.0
681.25,1349.6,0.0
681.25,1366.8,0.0
681.25,1384.0,0.0
681.25,1401.1,0.0
681.25,1418.3,0.0
681.25,1435.5,0.0
681.25,1452.7,0.0
681.25,1469.9,0.0
681.25,1487.0,0.0
681.25,1504.2,0.0
681.25,1521.4,0.0
681.25,1538.6,0.0
681.25,1555.8,0.0
681.25,1572.9,0.0
681.25,1590.1,0.0
681.25,1607.3,0.0
681.25,1624.5,0.0
681.25,1641.7,0.0
681.25,1658.8,0.0
681.25,1676.0,0.0
681.25,1693.2,0.0
681.25,1710.4,0.0
681.25,1727.6,0.0
681.25,1744.7,0.0
681.25,1761.9,0.0
681.25,1779.1,0.0
681.25,1796.3,0.0
681.25,1813.5,0.0
681.25,1830.6,0.0
681.25,1847.8,0.0
681.25,1865.0,0.0
681.25,1882.2,0.0
681.25,1899.4,0.0
681.25,1916.5,0.0
681.25,1933.7,0.0
681.25,1950.9,0.0
681.25,1968.1,0.0
681.25,1985.3,0.0
681.25,2002.4,0.0
681.25,2019.6,0.0
681.25,2036.8,0.0
681.25,2054.0,0.0
681.25,2071.2,0.0
681.25,2088.3,0.0
681.25,2105.5,0.0
681.25,2122.7,0.0
681.25,2139.9,0.0
681.25,2157.1,0.0
681.25,2174.2,0.0
681.25,2191.4,0.0
693.75,9.5898,-0.49617
693.75,26.77,-0.50036
693.75,43.949,-0.50455
693.75,61.129,-0.50874
693.75,78.309,-0.51293
693.75,95.488,-0.51543
693.75,112.67,-0.50967
693.75,129.85,-0.50168
693.75,147.03,-0.49369
693.75,164.21,-0.4857
693.75,181.39,-0.47771
693.75,198.57,-0.47358
693.75,215.75,-0.49164
693.75,232.93,-0.51152
693.75,250.11,-0.52013
693.75,267.29,-0.48372
693.75,284.46,-0.4473
693.75,301.64,-0.42198
693.75,318.82,-0.38925
693.75,336.0,-0.3778
693.75,353.18,-0.35583
693.75,370.36,-0.29411
693.75,387.54,-0.2338
693.75,404.72,-0.14355
693.75,421.9,-0.013292
693.75,439.08,0.11317
693.75,456.26,0.18212
693.75,473.44,0.31514
693.75,490.62,0.44816
693.75,507.8,0.50337
693.75,524.98,0.46521
693.75,542.16,0.42704
693.75,559.34,0.32347
693.75,576.52,0.26466
693.75,593.7,0.20585
693.75,610.88,0.035012
693.75,628.06,-0.15732
693.75,645.24,-0.34965
693.75,662.42,-0.66852
693.75,679.6,0.0
693.75,696.78,0.0
693.75,713.96,0.0
693.75,731.14,0.0
693.75,748.32,0.0
693.75,765.5,0.0
693.75,782.68,0.0
693.75,799.86,0.0
693.75,817.04,0.0
693.75,834.21,0.0
693.75,851.39,0.0
693.75,868.57,0.0
693.75,885.75,0.0
693.75,902.93,0.0
693.75,920.11,0.0
693.75,937.29,0.0
693.75,954.47,0.0
693.75,971.65,0.0
693.75,988.83,0.0
693.75,1006.0,0.0
693.75,1023.2,0.0
693.75,1040.4,0.0
693.75,1057.6,0.0
693.75,1074.7,0.0
693.75,1091.9,0.0
693.75,1109.1,0.0
693.75,1126.3,0.0
693.75,1143.4,0.0
693.75,1160.6,0.0
693.75,1177.8,0.0
693.75,1195.0,0.0
693.75,1212.2,0.0
693.75,1229.3,0.0
693.75,1246.5,0.0
693.75,1263.7,0.0
693.75,1280.9,0.0
693.75,1298.1,0.0
693.75,1315.2,0.0
693.75,1332.4,0.0
693.75,1349.6,0.0
693.75,1366.8,0.0
693.75,1384.0,0.0
693.75,1401.1,0.0
693.75,1418.3,0.0
693.75,1435.5,0.0
693.75,1452.7,0.0
693.75,1469.9,0.0
693.75,1487.0,0.0
693.75,1504.2,0.0
693.75,1521.4,0.0
693.75,1538.6,0.0
693.75,1555.8,0.0
693.75,1572.9,0.0
693.75,1590.1,0.0
693.75,1607.3,0.0
693.75,1624.5,0.0
693.75,1641.7,0.0
693.75,1658.8,0.0
693.75,1676.0,0.0
693.75,1693.2,0.0
693.75,1710.4,0.0
693.75,1727.6,0.0
693.75,1744.7,0.0
693.75,1761.9,0.0
693.75,1779.1,0.0
693.75,1796.3,0.0
693.75,1813.5,0.0
693.75,1830.6,0.0
693.75,1847.8,0.0
693.75,1865.0,0.0
693.75,1882.2,0.0
693.75,1899.4,0.0
693.75,1916.5,0.0
693.75,1933.7,0.0
693.75,1950.9,0.0
693.75,1968.1,0.0
693.75,1985.3,0.0
693.75,2002.4,0.0
693.75,2019.6,0.0
693.75,2036.8,0.0
693.75,2054.0,0.0
693.75,2071.2,0.0
693.75,2088.3,0.0
693.75,2105.5,0.0
693.75,2122.7,0.0
693.75,2139.9,0.0
693.75,2157.1,0.0
693.75,2174.2,0.0
693.75,2191.4,0.0
706.25,9.5898,-0.49397
706.25,26.77,-0.49816
706.25,43.949,-0.50235
706.25,61.129,-0.50654
